SPEC;UrunTipi;Kalinlik;Genislik;LevhaBoyu;Grade;MamulKodu;Yuzey;Kaplama;"HedefKaplama
g/m2";#NAME?;#NAME?;Alt Astar Klnlk;Alt Boya Klnlk;AltBoya;Üst Astar Klnlk;Üst Boya Klnlk;ÜstBoya;Backcoat Klnlk;CRF Kalinlik;Ticari
005015001;GCR;0,45;1240;2300;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005016001;GCR;0,5;1000;1900;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,5;
005018001;GCR;1,5;1200;2500;DX51D+Z;GCRCP;A;Z;100;0,11;0,11;0;0;;0;0;;0;1,52;
005026001;GCR;1,5;175;0;DX51D+Z;GCRSP;A;Z;100;0,11;0,11;0;0;;0;0;;0;0;
005029001;GCR;1,5;176;0;DX51D+Z;GCRSP;A;Z;100;0,11;0,11;0;0;;0;0;;0;0;
005030001;GCR;0,42;1240;3780;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,42;
005032001;GCR;2;1200;2300;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;2,03;
005033001;GCR;0,5;75;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
005034001;GCR;0,42;1240;2530;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,42;
005305001;GCR;0,3;1000;2000;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,3;
005358001;GCR;0,45;1050;1550;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005359001;GCR;0,45;1050;1400;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005365001;GCR;0,42;1240;2300;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,42;
005366001;GCR;0,45;1050;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005452001;GCR;0,45;71;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
005453001;GCR;0,45;67;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
005586001;GCR;0,8;1000;0;DX51D+Z;GCRP;A;Z;80;0;0;0;0;;0;0;;0;0,81;
005617001;GCR;1,2;1200;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,21;
005619001;GCR;2;1200;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;2,03;
005640001;GCR;1;85;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005641001;GCR;1,2;65;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005642001;GCR;1,2;70;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005643001;GCR;1,2;75;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005644001;GCR;1,2;80;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005645001;GCR;1,2;85;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005647001;GCR;1,2;105;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005649001;GCR;0,8;1200;0;DX51D+Z;GCRP;A;Z;80;0;0;0;0;;0;0;;0;0,81;
005650001;GCR;0,9;1200;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;0,91;
005652001;GCR;1,2;125;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005654001;GCR;2;1000;2000;DX51D+Z;GCRCP;A;Z;100;0,14;0,14;0;0;;0;0;;0;2,03;
005655001;GCR;2;1000;3000;DX51D+Z;GCRCP;A;Z;100;0,14;0,14;0;0;;0;0;;0;2,03;
005669001;GCR;1;1000;5300;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
005670001;GCR;1;1200;5500;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
005695001;GCR;1,2;1000;1200;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,21;
005698001;GCR;1,2;1200;3000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
005713001;GCR;0,9;74;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005715001;GCR;0,9;60;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005742001;GCR;1,4;1000;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
005771001;GCR;1,4;1200;2400;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
005772001;GCR;1,4;1200;2300;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
005779001;GCR;2;1000;2400;DX51D+Z;GCRCP;A;Z;100;0,14;0,14;0;0;;0;0;;0;2,03;
005780001;GCR;2;1200;2600;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;2,03;
005784001;GCR;1,5;1200;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,52;
